domain,Organization,email_pattern
globalpay.com,Global Payments,{firstname}.{lastname}@{domain}
globalservices.bt.com,BT - British Telecom,{firstname}.{lastname}@{domain}
globe-europe.eu,Globe European Union,{firstname}.{lastname}@{domain}
gltrade.com,,{firstname}.{lastname}@{domain}
gm.com,Opel Automobile GmbH,{firstname}.{lastname}@{domain}
gma-qm.de,GMA,{firstname}.{lastname}@{domain}
gmail.com.,Ministry of Infrastructure of the Republic of Slovenia,{firstname}.{lastname}@{domain}
gmmeurope.com,GMM Europe,{firstname}.{lastname}@{domain}
gmx.at,Queen Mary University of London,{firstname}.{lastname}@{domain}
gmx.de,Gerd Heymann,{firstname}.{lastname}@{domain}
go4circle.be,Go4Circle ,{firstname}.{lastname}@{domain}
gobex.es,Oficina de Extremadura,{firstname}.{lastname}@{domain}
goethe.de,Goethe-Institut Brussels,{firstname}.{lastname}@{domain}
goldmansachs.com,Goldman Sachs,{firstname}.{lastname}@{domain}
goldstandard.org,Gold Standard,{firstname}.{lastname}@{domain}
gopacom.eu,COPA Com.,{firstname}.{lastname}@{domain}
gotlandssnus.se,Gotlandssnus AB,{firstname}.{lastname}@{domain}
gov.fi,"Ministry of Finance, Finland",{firstname}.{lastname}@{domain}
gov.m,Permanent Representation of Malta to the EU,{firstname}.{lastname}@{domain}
gov.mt,Permanent Representation of Malta to the EU,{firstname}.{lastname}@{domain}
gov.se,Permanent Representation of Sweden to the EU,{firstname}.{lastname}@{domain}
gov.si,Permanent Representation of Slovenia to the EU,{firstname}.{lastname}@{domain}
gov.uk.com,Competition and Markets Authority,{firstname}.{lastname}@{domain}
gowlingwlg.com,Gowling WLG,{firstname}.{lastname}@{domain}
gpeari.gov.pt,Ministry of Finance,{firstname}.{lastname}@{domain}
gpw.com.pl,Warsaw Stock Exchange,{firstname}.{lastname}@{domain}
gpw.pl,,{firstname}.{lastname}@{domain}
gr-consulting.eu,GR Consulting,{firstname}.{lastname}@{domain}
gr.ey.com,EY,{firstname}.{lastname}@{domain}
grayling.be,Grayling,{firstname}.{lastname}@{domain}
grayling.com ,Grayling ,{firstname}.{lastname}@{domain}
grcwatch.com,Grc Watch ,{firstname}.{lastname}@{domain}
greencoat-capital.com,Greencoat  Capital,{firstname}.{lastname}@{domain}
greenovate.eu,Greenovate!,{firstname}.{lastname}@{domain}
greentarget.co.uk,GREENTARGET,{firstname}.{lastname}@{domain}
greenwichdealing.ch,Greenwich Dealing,{firstname}.{lastname}@{domain}
greenyardfoods.com,Greenyard NV ,{firstname}.{lastname}@{domain}
grenoble-em.com,Grenoble School of Management,{firstname}.{lastname}@{domain}
grex.fr,Grex,{firstname}.{lastname}@{domain}
group.bnpparibas,BNP Paribas,{firstname}.{lastname}@{domain}
groupama.com,Groupama,{firstname}.{lastname}@{domain}
groupe-vyv.fr,Groupe VYV,{firstname}.{lastname}@{domain}
groupon.com,Groupon International,{firstname}.{lastname}@{domain}
grtgaz.com,GRTgaz,{firstname}.{lastname}@{domain}
grupamtp.pl,EMECA - European Major Exhibition Centres Association,{firstname}.{lastname}@{domain}
grupobbva.com,BBVA - Banco Bilbao Vizcaya Argentaria,{firstname}.{lastname}@{domain}
grupoinmark.com ,Inmark,{firstname}.{lastname}@{domain}
gs.com,Goldman Sachs,{firstname}.{lastname}@{domain}
gsccnetwork.org,GSCC Network,{firstname}.{lastname}@{domain}
gsk.com,GSK,{firstname}.{lastname}@{domain}
gsma.com,GSMA - GSM Association,{firstname}.{lastname}@{domain}
gt.com,Grant Thornton,{firstname}.{lastname}@{domain}
guardian.co.uk,Guardian,{firstname}.{lastname}@{domain}
guardrec.no,Guardrec,{firstname}.{lastname}@{domain}
guardsquare.com,GuardSquare,{firstname}.{lastname}@{domain}
gvb.nl,GVB,{firstname}.{lastname}@{domain}
gwec.net,Global Wind Energy Council,{firstname}.{lastname}@{domain}
halofinancial.com,Halo Financial,{firstname}.{lastname}@{domain}
hanburystrategy.com,Hanbury Strategy,{firstname}.{lastname}@{domain}
hanetf.com,HANetf,{firstname}.{lastname}@{domain}
hanfa.hr,Croatian financial Services ,{firstname}.{lastname}@{domain}
hanse-office.de,Hanse-Office,{firstname}.{lastname}@{domain}
hants.gov.uk,Hampshire County Council,{firstname}.{lastname}@{domain}
harneys.com,Harney Westwood & Riegels SARL,{firstname}.{lastname}@{domain}
haropaports.com,HAROPA PORT,{firstname}.{lastname}@{domain}
harriefeld.com,MH-Consulting-Services,{firstname}.{lastname}@{domain}
hauck-aufhaeuser.com,Hauck & Aufhäuser,{firstname}.{lastname}@{domain}
hcob-bank.com,Hamburg Commercial Bank,{firstname}.{lastname}@{domain}
hcwh.org,HCWH - Health Care Without Harm Europe,{firstname}.{lastname}@{domain}
hde.de,HDE - German retail federation,{firstname}.{lastname}@{domain}
headoflegal.com,Head of Legal,{firstname}.{lastname}@{domain}
health.belgium.be,"Federal Public Service Health, Food Chain Safety and Environment",{firstname}.{lastname}@{domain}
healthparliament.eu,European Health Parliament,{firstname}.{lastname}@{domain}
heidelpay.de,Heidelpay,{firstname}.{lastname}@{domain}
heineken.com,Heineken,{firstname}.{lastname}@{domain}
helsenor.com,Helsenor AS,{firstname}.{lastname}@{domain}
helsinki.fi,University of Helsinki,{firstname}.{lastname}@{domain}
hendbassociates.nl,H&dB Associates,{firstname}.{lastname}@{domain}
hendersonscott.com,ITHR Telco,{firstname}.{lastname}@{domain}
henkel.com,Henkel Global Supply Chain,{firstname}.{lastname}@{domain}
hensoldt.net,Hensoldt,{firstname}.{lastname}@{domain}
herbertsmith.com,Herbert Smith Freehills LLP,{firstname}.{lastname}@{domain}
here.com,HERE Technologies,{firstname}.{lastname}@{domain}
herinckx.be,SRB - Single Resolution Board,{firstname}.{lastname}@{domain}
hermes-investment.com,Hermes Investment Management,{firstname}.{lastname}@{domain}
hfw.com,HFW,{firstname}.{lastname}@{domain}
hilex.com,Hilex,{firstname}.{lastname}@{domain}
hilton.com,Hilton,{firstname}.{lastname}@{domain}
himtf.com,Hi-MTF SIM SpA,{firstname}.{lastname}@{domain}
histropedia.com,Histropedia Ltd,{firstname}.{lastname}@{domain}
hitachi-eu.com,Hitachi,{firstname}.{lastname}@{domain}
hitachi-powergrids.com,Hitachi ABB Power Grids,{firstname}.{lastname}@{domain}
hjart-lungfonden.se,Hjärt-Lungfonden,{firstname}.{lastname}@{domain}
hkstrategies.com,Hill & Knowlton,{firstname}.{lastname}@{domain}
hl.co.uk,Hargreaves Lansdown,{firstname}.{lastname}@{domain}
hm-treasury.gsi.gov.uk,"Ministry of Finance, UK",{firstname}.{lastname}@{domain}
hmtreasury.gov.uk,HM Treasury,{firstname}.{lastname}@{domain}
"hmtreasury.gov.uk
",HM Treasury,{firstname}.{lastname}@{domain}
hmtreasury.gsi.gov.uk,HM Treasury,{firstname}.{lastname}@{domain}
"hmtreasury.gsi.uk
",HM Treasury,{firstname}.{lastname}@{domain}
hobe-consulting.de,HoBe-Consulting,{firstname}.{lastname}@{domain}
hodosconsulting.eu,Gary Bridgeman,{firstname}.{lastname}@{domain}
hoganlovells.com,Hogan Lovells International LLP,{firstname}.{lastname}@{domain}
home.com,Retired,{firstname}.{lastname}@{domain}
hondurasembassy.be,Honduras Embassy,{firstname}.{lastname}@{domain}
hoogendijk.eu,Hoogendijk Electric,{firstname}.{lastname}@{domain}
hop3.eu,hop 3,{firstname}.{lastname}@{domain}
hotmail.com,,{firstname}.{lastname}@{domain}
hotmail.it,Ernst & Young,{firstname}.{lastname}@{domain}
hotrec.eu,"HOTREC - Hotels, Restaurants & Cafés in Europe",{firstname}.{lastname}@{domain}
housingeurope.eu,"Housing Europe - The European Federation of Public, Cooperative and Social Housing",{firstname}.{lastname}@{domain}
hpe.com,HPE - Hewlett Packard Enterprise,{firstname}.{lastname}@{domain}
hpe.com ,Hewlett Packard Enterprise,{firstname}.{lastname}@{domain}
hpl.hp.com,Hewlett Packard,{firstname}.{lastname}@{domain}
hsbc.co.id,HSBC,{firstname}.{lastname}@{domain}
hsbc.com,HSBC,{firstname}.{lastname}@{domain}
hsbcgroup.com,Statoil (UK),{firstname}.{lastname}@{domain}
hsbcib.com,HSBC,{firstname}.{lastname}@{domain}
hsbcnet.com,HSBC - HSBC Global Banking and Markets,{firstname}.{lastname}@{domain}
hsf.com,Herbert Smith Freehills LLP,{firstname}.{lastname}@{domain}
htm.fi,HTM-tilintarkastajat ry,{firstname}.{lastname}@{domain}
hu-berlin.de,Humboldt-Universität zu Berlin,{firstname}.{lastname}@{domain}
huawei.com,Huawei,{firstname}.{lastname}@{domain}
"huawei.com
",Huawei,{firstname}.{lastname}@{domain}
hub.com,HUB,{firstname}.{lastname}@{domain}
humebrophy.com,Hume Brophy,{firstname}.{lastname}@{domain}
huntsworthhealth.com,Huntsworth Health,{firstname}.{lastname}@{domain}
hutsman.com,Huntsman,{firstname}.{lastname}@{domain}
hvglaw.nl,HVG Law,{firstname}.{lastname}@{domain}
hweu.net,Hutchison Europe,{firstname}.{lastname}@{domain}
"hweu.net
",Hutchison Europe,{firstname}.{lastname}@{domain}
hwk-muenchen.de,BHT - Bayerischer Handwerkstag e.V.,{firstname}.{lastname}@{domain}
hynamics.de,EDF,{firstname}.{lastname}@{domain}
hypoport.com,Hypoport,{firstname}.{lastname}@{domain}
i4ce.org,IC4E - Institute for Climate Economics,{firstname}.{lastname}@{domain}
iaasa.ie,AASA - Irish Auditing & Accounting Supervisory Authority,{firstname}.{lastname}@{domain}
iabeurope.eu,IAB,{firstname}.{lastname}@{domain}
iais.fraunhofer.de,Fraunhofer-Gesellschaft Zur Förderung der Angewandten Forschung E.V.,{firstname}.{lastname}@{domain}
ib-lsa.de,Investitionsbank Sachsen-Anhalt,{firstname}.{lastname}@{domain}
ib-sh.de,Investitionsbank Schleswig-Holstein,{firstname}.{lastname}@{domain}
ibanity.com,Isabel Group,{firstname}.{lastname}@{domain}
ibbt.be,iMinds,{firstname}.{lastname}@{domain}
iberclear.es,,{firstname}.{lastname}@{domain}
ibf.ie,IBF - Irish Banking Federation,{firstname}.{lastname}@{domain}
ibfed.org,International Banking Federation,{firstname}.{lastname}@{domain}
ibm.com,IBM,{firstname}.{lastname}@{domain}
ibma-global.org,IBMA - International Biocontrol Manufacturers' Association ,{firstname}.{lastname}@{domain}
icann.org,ICANN,{firstname}.{lastname}@{domain}
icap.com,ICAP,{firstname}.{lastname}@{domain}
icas.global,ICAS - International Council for Ad Self-Regulation,{firstname}.{lastname}@{domain}
iccreabi.bcc.it,ICCREA - Iccrea Banking Group,{firstname}.{lastname}@{domain}
iccwbo.org,ICC - International Chamber of Commerce,{firstname}.{lastname}@{domain}
ice.com,ICE - Intercontinental Exchange,{firstname}.{lastname}@{domain}
icffr.org,ICFFR - International Centre for Financial Regulation,{firstname}.{lastname}@{domain}
icgam.com,ICG - Intermediate Capital Group,{firstname}.{lastname}@{domain}
ichec.be,ICHEC,{firstname}.{lastname}@{domain}
iciglobal.org,ICI - Investment Company Institute,{firstname}.{lastname}@{domain}
icis.com,ICIS,{firstname}.{lastname}@{domain}
icloud.com,Elsevier Weekblad,{firstname}.{lastname}@{domain}
icmagroup.org,ICMA - International Capital Market Association,{firstname}.{lastname}@{domain}
iconsolutions.com,ICON Solutions,{firstname}.{lastname}@{domain}
icos.ie,ICOS - Irish Co-operative Organisation Society,{firstname}.{lastname}@{domain}
ida.ie,IDA Ireland,{firstname}.{lastname}@{domain}
idagroup.global,Leidar,{firstname}.{lastname}@{domain}
ideaconsult.be,IDEA Consult,{firstname}.{lastname}@{domain}
idf-europe.org,International Diabetes Federation European Region ,{firstname}.{lastname}@{domain}
idi.ntnu.no,NTNU,{firstname}.{lastname}@{domain}
ie.ey.com,EY,{firstname}.{lastname}@{domain}
iew.unibe.ch,"Institute for European and Internatational Economic Law & Woprld Trade Institute, University of Bern
",{firstname}.{lastname}@{domain}
ifema.es,IFEMA,{firstname}.{lastname}@{domain}
iff-hamburg.de,IFF - Institute for Responsible Finance,{firstname}.{lastname}@{domain}
ifpi.org,IFPI,{firstname}.{lastname}@{domain}
ifrro.org,IFRRO - The International Federation of Reproduction Rights Organisations,{firstname}.{lastname}@{domain}
ifsttar.fr,IFSTTAR ,{firstname}.{lastname}@{domain}
ig.com,IG,{firstname}.{lastname}@{domain}
igf.etat.lu,gENERAL iNSPECTOR OF FINANCE,{firstname}.{lastname}@{domain}
igmetall.de,IG Metall,{firstname}.{lastname}@{domain}
ihg.com,Intercontinental Hotel Group,{firstname}.{lastname}@{domain}
ihsmarkit.com,,{firstname}.{lastname}@{domain}
iipm.pl,IIPM - Dairy Industry Innovation Institute,{firstname}.{lastname}@{domain}
iisb.fraunhofer.de,Fraunhofer Institute for Integrated Systems and Device Technology,{firstname}.{lastname}@{domain}
ilag.org.uk,ILAG - Investment and Life Assurance Group,{firstname}.{lastname}@{domain}
imagina-eu.com,IMAGINA ,{firstname}.{lastname}@{domain}
imakumo.com,Imakumo,{firstname}.{lastname}@{domain}
imc.com,IMC,{firstname}.{lastname}@{domain}
imc.nl,IMC,{firstname}.{lastname}@{domain}
imd.ch,"Richard Ivey School of Business, University of Western Ontario",{firstname}.{lastname}@{domain}
imec.be,IMEC,{firstname}.{lastname}@{domain}
imieu.eu,"Institute for Infrastructure, Environment & Innovation",{firstname}.{lastname}@{domain}
iminds.be,iMinds,{firstname}.{lastname}@{domain}
imnrc.org,IMNRC-NewPOL Network,{firstname}.{lastname}@{domain}
impctz.com,Impctz,{firstname}.{lastname}@{domain}
imtech.eu,Imtech N.V,{firstname}.{lastname}@{domain}
inca.coop,Inca,{firstname}.{lastname}@{domain}
incisivemedia.com,Incisive Media,{firstname}.{lastname}@{domain}
inclusioncentre.org.uk,The Financial Inclusion Centre,{firstname}.{lastname}@{domain}
independentretaileurope.eu,Independent Retail Europe,{firstname}.{lastname}@{domain}
indusind.com,IndusInd Bank,{firstname}.{lastname}@{domain}
infineon.com,Infineon Technologies,{firstname}.{lastname}@{domain}
influencemap.org,InfluenceMap,{firstname}.{lastname}@{domain}
infocert.it,InfoCert,{firstname}.{lastname}@{domain}
infopro-digital.com,Risk.net,{firstname}.{lastname}@{domain}
informa.com,Informa,{firstname}.{lastname}@{domain}
infosys.com,Infosys Ltd,{firstname}.{lastname}@{domain}
infrax.be,Infrax,{firstname}.{lastname}@{domain}
ing.be,ING,{firstname}.{lastname}@{domain}
ing.com,ING,{firstname}.{lastname}@{domain}
ing.com ,ING,{firstname}.{lastname}@{domain}
ing.lu,ING,{firstname}.{lastname}@{domain}
ing.unipi.it,Università di Pisa,{firstname}.{lastname}@{domain}
ingenico.com,Ingenico,{firstname}.{lastname}@{domain}
inhopefoundation.org,INHOPE Foundation,{firstname}.{lastname}@{domain}
inlecomsystems.com,inlecom,{firstname}.{lastname}@{domain}
inlinepolicy.com,Inline Policy,{firstname}.{lastname}@{domain}
innopay.com,,{firstname}.{lastname}@{domain}
innoverne.com,Premium Brand SME's,{firstname}.{lastname}@{domain}
inprovagroup.com,Inprova Group,{firstname}.{lastname}@{domain}
inra.fr,French National Institute for Agricultural Research,{firstname}.{lastname}@{domain}
inrev.org,INREV,{firstname}.{lastname}@{domain}
insead.edu,INSEAD Executive Education,{firstname}.{lastname}@{domain}
insight-centre.org,National University of Ireland Galway,{firstname}.{lastname}@{domain}
instinctif.com,Instinctif Partners,{firstname}.{lastname}@{domain}
instinet.co.uk,KCG Europe Limited,{firstname}.{lastname}@{domain}
insuranceireland.eu,Insurance Ireland,{firstname}.{lastname}@{domain}
insurancesweden.se ,Insurance Sweden,{firstname}.{lastname}@{domain}
intec.ugent.be,"imec - Ghent University
IDLab",{firstname}.{lastname}@{domain}
intel.com,Intel,{firstname}.{lastname}@{domain}
intelsat.com,Intelsat,{firstname}.{lastname}@{domain}
intensasanpaolo.com,Intesa Sanpaolo,{firstname}.{lastname}@{domain}
interactivedata.com,Interactive Data,{firstname}.{lastname}@{domain}
interelgroup.com,Interel,{firstname}.{lastname}@{domain}
international.gc.ca ,Canadian mission to the EU ,{firstname}.{lastname}@{domain}
internet.lu,,{firstname}.{lastname}@{domain}
intersec.com,Intersec Group,{firstname}.{lastname}@{domain}
intesasanpaolo.com,Intesa Sanpaolo,{firstname}.{lastname}@{domain}
intl.att.com,AT&T,{firstname}.{lastname}@{domain}
intug.org,INTUG,{firstname}.{lastname}@{domain}
invega.lt,UAB INVEGA,{firstname}.{lastname}@{domain}
investec.com,Investec Bank plc,{firstname}.{lastname}@{domain}
investec.ec,Investec,{firstname}.{lastname}@{domain}
investeurope-advisors.eu,Invest Europe,{firstname}.{lastname}@{domain}
investeurope.eu,Invest Europe,{firstname}.{lastname}@{domain}
"investeurope.eu	",Invest Europe,{firstname}.{lastname}@{domain}
investmentadviser.org,Investment Adviser Association,{firstname}.{lastname}@{domain}
investmentofficer.com,InvestmentOfficer.com,{firstname}.{lastname}@{domain}
invidem.com,Invidem AB,{firstname}.{lastname}@{domain}
invoxis.com,Invoxis,{firstname}.{lastname}@{domain}
iontrading.com,ION Trading,{firstname}.{lastname}@{domain}
ipaccess.com,IP Access Ltd.,{firstname}.{lastname}@{domain}
ipaper.com,International Paper - Europe,{firstname}.{lastname}@{domain}
iparc.eu,IPARC,{firstname}.{lastname}@{domain}
ipe.com,IPE,{firstname}.{lastname}@{domain}
ipgroupplc.com,IPC Group plc,{firstname}.{lastname}@{domain}
ips-inter.com,IPS - International Payment Services,{firstname}.{lastname}@{domain}
ipsen.com,Ipsen,{firstname}.{lastname}@{domain}
ipt.fraunhofer.de,Fraunhofer IPT - Fraunhofer Institute for Production Technology,{firstname}.{lastname}@{domain}
iqeq.com,IQEQ,{firstname}.{lastname}@{domain}
irg.eu,IRG - Independent Regulators Group,{firstname}.{lastname}@{domain}
iris.co.uk,IRIS Software Group,{firstname}.{lastname}@{domain}
irisbus.iveco.com,Iveco,{firstname}.{lastname}@{domain}
irishfunds.ie,Irish Funds,{firstname}.{lastname}@{domain}
iru.org,IRU - International Road Transport Union,{firstname}.{lastname}@{domain}
isc.politie.nl,ITO,{firstname}.{lastname}@{domain}
iscte.pt,Faculty of Architecture of the University of Lisbon,{firstname}.{lastname}@{domain}
ise.ie,ISE - Irish Stock Exchange,{firstname}.{lastname}@{domain}
isfc.org,International Sustainable Finance Centre (ISFC),{firstname}.{lastname}@{domain}
isfe.eu,ISFE,{firstname}.{lastname}@{domain}
isi.fraunhofer.de,Fraunhofer Institute for Systems and Innovation Research ISI,{firstname}.{lastname}@{domain}
isla.co.uk,ISLA - International Securities Lending,{firstname}.{lastname}@{domain}
isolutions.ch,,{firstname}.{lastname}@{domain}
issgovernance.com,Institutional Shareholder Services,{firstname}.{lastname}@{domain}
ist.ac.at,IST Austria - Institute of Science and Technology Austria,{firstname}.{lastname}@{domain}
isti.cnr.it,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo"" ",{firstname}.{lastname}@{domain}
istra-istria.hr,EPA - European Projects Association ,{firstname}.{lastname}@{domain}
it.ey.com,EY,{firstname}.{lastname}@{domain}
it.pwc.com,PwC - PricewaterhouseCoopers,{firstname}.{lastname}@{domain}
itamaraty.gov.br,Brazilian Embassy to Belgium,{firstname}.{lastname}@{domain}
itg.com,ITG - Investment Technology Group,{firstname}.{lastname}@{domain}
iticapital.com,ITI Capital,{firstname}.{lastname}@{domain}
itu.int,International Telecommunication Union,{firstname}.{lastname}@{domain}
itv.com,ITV,{firstname}.{lastname}@{domain}
itvplc.com,ITV,{firstname}.{lastname}@{domain}
iv.vlaanderen.be,Flanders Department of Foreign Affairs,{firstname}.{lastname}@{domain}
ixtel.com,Ixtel,{firstname}.{lastname}@{domain}
jamesalexandersearch.com,James Alexander Search,{firstname}.{lastname}@{domain}
janes.com,Jane's Defence Weekly,{firstname}.{lastname}@{domain}
janushenderson.com,Janus Henderson Investors,{firstname}.{lastname}@{domain}
jerseyfinance.je,Jersey Finance,{firstname}.{lastname}@{domain}
jit.team,,{firstname}.{lastname}@{domain}
jlm-innovation.de,JLM Innovation,{firstname}.{lastname}@{domain}
jly.fi,JLY - Finnish Solid Waste Association,{firstname}.{lastname}@{domain}
johncabot.edu,John Cabot University,{firstname}.{lastname}@{domain}
johnmattson.se,John Mattson Fastighetsföretagen AB,{firstname}.{lastname}@{domain}
johnmenziesplc.com,John Menzies Plc,{firstname}.{lastname}@{domain}
jpmchase.com,JPMorgan Chase,{firstname}.{lastname}@{domain}
jpmorgan.com,JPMorgan,{firstname}.{lastname}@{domain}
jpmorganchase.com,JPMorgan Chase,{firstname}.{lastname}@{domain}
jrc.ec.europa.eu,European Commission,{firstname}.{lastname}@{domain}
jtcgroup.com,JTC Group,{firstname}.{lastname}@{domain}
jti.com,Nordic Snus,{firstname}.{lastname}@{domain}
"jti.com
",JTI - Japan Tobacco International,{firstname}.{lastname}@{domain}
juliusbaer.com,Bank Julius Baer & Co,{firstname}.{lastname}@{domain}
juntaex.es,Association of European Border Regions,{firstname}.{lastname}@{domain}
jupiteram.com,Jupiter Asset Management,{firstname}.{lastname}@{domain}
jura.uni-halle.de,University of Halle,{firstname}.{lastname}@{domain}
justice.ministry.se,Justitiedepartementet,{firstname}.{lastname}@{domain}
jwg-it.eu,JWG,{firstname}.{lastname}@{domain}
k-plus-s.com,APEP - Association des Producteurs Européens de Potasse,{firstname}.{lastname}@{domain}
kabeldeutschland.com,Kabel Deutschland,{firstname}.{lastname}@{domain}
kadaster.nl,Kadaster,{firstname}.{lastname}@{domain}
kaiko.com,Kaiko,{firstname}.{lastname}@{domain}
kalbainternational.com,Kalba International etwork,{firstname}.{lastname}@{domain}
kangaroogroup.eu,,{firstname}.{lastname}@{domain}
kapellmann.de,Kapellmann und Partner Rechtsanwälte,{firstname}.{lastname}@{domain}
kapersky.com,Kaspersky Lab ,{firstname}.{lastname}@{domain}
kas.de,Konrad-Adenauer-Stiftung,{firstname}.{lastname}@{domain}
kasbank.com,,{firstname}.{lastname}@{domain}
kaufland.de,Kaufland,{firstname}.{lastname}@{domain}
kbassociates.ie,KB Associates,{firstname}.{lastname}@{domain}
kbc.be,KBC Group,{firstname}.{lastname}@{domain}
kbcbrussels.be,KBC Group,{firstname}.{lastname}@{domain}
kbcfp.com,KBC - KBC Bank,{firstname}.{lastname}@{domain}
kbra.com,KBRA,{firstname}.{lastname}@{domain}
kcl.ac.uk,European Parliament,{firstname}.{lastname}@{domain}
kcomplc.com,KCOM Group PLC,{firstname}.{lastname}@{domain}
kdt-ju.europa.eu,KDT,{firstname}.{lastname}@{domain}
kellog.com,Kellogg Company,{firstname}.{lastname}@{domain}
kelloggs.com,Kellogg,{firstname}.{lastname}@{domain}
kenblanchard.com,The Ken Blanchard Companies,{firstname}.{lastname}@{domain}
kennedyslaw.com,Kennedys,{firstname}.{lastname}@{domain}
ketreuhand.at,K & E Wirtschaftstreuhand Gesellschaft,{firstname}.{lastname}@{domain}
keynote-sigos.com,Keynote SIGOS GmbH,{firstname}.{lastname}@{domain}
kht.fi,CGR ry - Finnish Institute of Authorised Public Accountants,{firstname}.{lastname}@{domain}
ki.se,Karolinska Institutet ,{firstname}.{lastname}@{domain}
kinfos.com,Kinfos Event ,{firstname}.{lastname}@{domain}
kinfos.com ,Kinfos Event ,{firstname}.{lastname}@{domain}
kingfisher.com,BHP Billiton,{firstname}.{lastname}@{domain}
kirkland.com,Kirkland & Ellis International LLP,{firstname}.{lastname}@{domain}
kit.edu,KIT - Karlsruhe Institute of Technology,{firstname}.{lastname}@{domain}
kkr.com,KKR & Co. Inc - Kohlberg Kravis Roberts & Co. Ltd - Private Equity,{firstname}.{lastname}@{domain}
kkt.ntnu.no,Norwegian University of Science and Technology,{firstname}.{lastname}@{domain}
klarna.com,Klarna,{firstname}.{lastname}@{domain}
kleinworthambros.co.uk,Kleinwort Hambros,{firstname}.{lastname}@{domain}
kleyrgrasso.com,Kleyr Grasso,{firstname}.{lastname}@{domain}
klimat.gov.pl,Ministry of Climate,{firstname}.{lastname}@{domain}
klm.com,Air France - KLM,{firstname}.{lastname}@{domain}
kmc-klb.com,KMC,{firstname}.{lastname}@{domain}
kmwp.de,KMWP,{firstname}.{lastname}@{domain}
knect365.com,Banking Technology,{firstname}.{lastname}@{domain}
kneip.com,Kneip,{firstname}.{lastname}@{domain}
knf.gov.pl,KNF - Polish Financial Supervision Authority,{firstname}.{lastname}@{domain}
knowledge4innovation.eu,Knowledge4Innovation,{firstname}.{lastname}@{domain}
kognitiv.com,Kognitiv Corporation ,{firstname}.{lastname}@{domain}
kokom.no,Egil Bovim Consulting,{firstname}.{lastname}@{domain}
kornferry.com,Korn Ferry,{firstname}.{lastname}@{domain}
kpmg.be,KPMG,{firstname}.{lastname}@{domain}
kpmg.lu,KPMG,{firstname}.{lastname}@{domain}
kpmg.no,KPMG,{firstname}.{lastname}@{domain}
kpmgifrg.com,,{firstname}.{lastname}@{domain}
kpn.com,KPN,{firstname}.{lastname}@{domain}
kprm.gov.pl,Permanent Representation of Poland to the EU,{firstname}.{lastname}@{domain}
kraken.com,Kraken - Kraken Digital Asset Exchange,{firstname}.{lastname}@{domain}
kreab.com,Kreab ,{firstname}.{lastname}@{domain}
ks.no,Norwegian Association of Local and Regional Authorities,{firstname}.{lastname}@{domain}
kscnet.com,Congress Service Centre,{firstname}.{lastname}@{domain}
ksk-es.de,Kredittilsynet / Kreissparkasse Esslingen-Nürtingen,{firstname}.{lastname}@{domain}
ktm.com,KTM,{firstname}.{lastname}@{domain}
kubota.com,Kubota Corporation,{firstname}.{lastname}@{domain}
kuka.com,KUKA Roboter GmbH,{firstname}.{lastname}@{domain}
kuleuven.be,KU Leuven - Katholieke Universiteit Leuven,{firstname}.{lastname}@{domain}
kum.hu,Permanent Representation of Hungary to the EU,{firstname}.{lastname}@{domain}
kvernelandgroup.com,Kverneland Group Mechatronics,{firstname}.{lastname}@{domain}
kyowakirin.com,Kyowa Kirin International,{firstname}.{lastname}@{domain}
kytegroup.com,Kyte Group Ltd,{firstname}.{lastname}@{domain}
labanquepostale.fr,La Banque Postale,{firstname}.{lastname}@{domain}
ladbrokes.se,Ladbrokes,{firstname}.{lastname}@{domain}
lafargeholcim.com,Lafarge,{firstname}.{lastname}@{domain}
lagardere-active.com,Lagardère SCA,{firstname}.{lastname}@{domain}
landisgyr.com,Landis+Gyr,{firstname}.{lastname}@{domain}
landkreistag.de,Europabüro des Deutschen Landkreistages ,{firstname}.{lastname}@{domain}
lanxess.com,Lanxess AG,{firstname}.{lastname}@{domain}
lapinamk.fi,MTI - Multidimensional Tourism Institute,{firstname}.{lastname}@{domain}
lapresse.be,LA PRESSE,{firstname}.{lastname}@{domain}
latticepointconsulting.com,LatticePoint Consulting,{firstname}.{lastname}@{domain}
latvenergo.lv,Latvenergo,{firstname}.{lastname}@{domain}
laurius.be,Laurius advocaten,{firstname}.{lastname}@{domain}
law360.com,Law360,{firstname}.{lastname}@{domain}
lawsociety.org.uk,The Law Society,{firstname}.{lastname}@{domain}
"layeriv.com
",LayerIV,{firstname}.{lastname}@{domain}
lazard.fr,Lazard Frères Gestion,{firstname}.{lastname}@{domain}
lba.lt,,{firstname}.{lastname}@{domain}
lbb.de,Landesbank Berlin AG,{firstname}.{lastname}@{domain}
lch.com,LCH Group,{firstname}.{lastname}@{domain}
lcpireland.com,Lane Clark & Peacock,{firstname}.{lastname}@{domain}
ldd.lt,Lithuanian Association of Dietitians,{firstname}.{lastname}@{domain}
leaseplan.com,Leaseplan Corporation,{firstname}.{lastname}@{domain}
leasingverband.de,Bundesverband Deutscher Leasing-Unternehmen,{firstname}.{lastname}@{domain}
ledacon.com.au,Ledacon Ltd,{firstname}.{lastname}@{domain}
lefevre.fr,AECA - Association Européenne des Cadres de l'Assurance,{firstname}.{lastname}@{domain}
